date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:14	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202023%2009:16:14%20GMT	https://halim.website/robots.txt		(from )
12:16:14	41314/41314	---MCZ	200	added ('OK')	text/html	etag:W/%2264a28606-a162%22	https://halim.website/	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/index.html	(from )
12:16:15	11015/11015	---M--	200	added ('OK')	image/png	etag:%226de88168792802fb9ab76feb5cad319f%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/favicon.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/favicon.png	(from https://halim.website/)
12:16:16	160302/160302	---M--	200	added ('OK')	text/css	etag:%2261fe7237-2722e%22	https://halim.website/vendor/bootstrap/css/bootstrap.min.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/bootstrap/css/bootstrap.min.css	(from https://halim.website/)
12:16:16	57333/57333	---M--	200	added ('OK')	text/css	etag:%2261fe7237-dff5%22	https://halim.website/vendor/font-awesome/css/all.min.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/font-awesome/css/all.min.css	(from https://halim.website/)
12:16:16	5278/5278	---M--	200	added ('OK')	text/css	etag:%2261fe7237-149e%22	https://halim.website/vendor/owl.carousel/assets/owl.carousel.min.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/owl.carousel/assets/owl.carousel.min.css	(from https://halim.website/)
12:16:16	5689/5689	---M--	200	added ('OK')	text/css	etag:%2261fe7237-1639%22	https://halim.website/vendor/magnific-popup/magnific-popup.min.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/magnific-popup/magnific-popup.min.css	(from https://halim.website/)
12:16:16	82320/82320	---M--	200	added ('OK')	text/css	etag:%2261fe7237-14190%22	https://halim.website/css/stylesheet.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/css/stylesheet.css	(from https://halim.website/)
12:16:16	4682/4682	---M--	200	added ('OK')	text/css	etag:%2261fe7237-124a%22	https://halim.website/css/color-green.css	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/css/color-green.css	(from https://halim.website/)
12:16:18	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Sep%202023%2009:16:17%20GMT	https://halim.website/blog	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/blog	(from https://halim.website/)
12:16:18	318532/318532	---M--	200	added ('OK')	image/jpeg	etag:%224bcbbef42788006a5de15597fec11f02%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/profile.jpg	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/profile.jpg	(from https://halim.website/)
12:16:19	1015852/1015852	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Sep%202023%2009:16:18%20GMT	https://halim.website/blog/	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/blog/index.html	(from https://halim.website/)
12:16:19	571072/571072	---M--	200	added ('OK')	image/jpeg	etag:%227280a74af88f9e0a320fc5ea143b31bc%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/intro-bg.jpg	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/intro-bg.jpg	(from https://halim.website/)
12:16:20	73735/73735	---M--	200	added ('OK')	image/png	etag:%225d1990f7060b9da01043cabb88a1dbde%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/tenable_logo.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/tenable_logo.png	(from https://halim.website/)
12:16:21	36201/36201	---M--	200	added ('OK')	image/png	etag:%228c6d8c9ca4e4f3312b1bfde295344fe2%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/gitlab.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/gitlab.png	(from https://halim.website/)
12:16:21	12507/12507	---M--	200	added ('OK')	image/png	etag:%22d24379d52b692f44bc18ef186b8b1d61%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/Twistlock_Logo.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/Twistlock_Logo.png	(from https://halim.website/)
12:16:22	17117/17117	---M--	200	added ('OK')	image/png	etag:%2229a2d47fa17bac31b86df17430153372%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/beyondtrust.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/beyondtrust.png	(from https://halim.website/)
12:16:23	54455/54455	---M--	200	added ('OK')	image/png	etag:%228d3c73456d88fd79f4aec6361f94ded6%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/aws.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/aws.png	(from https://halim.website/)
12:16:24	172666/172666	---M--	200	added ('OK')	image/png	etag:%22c37f89c428c54c7b9caa3afd999c8b3f%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/ansible1.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/ansible1.png	(from https://halim.website/)
12:16:25	6364/6364	---M--	200	added ('OK')	image/png	etag:%22e510375734d2f2b6e040d8cf300290bf%22	https://s3.eu-west-1.amazonaws.com/halim.website/images/tools/clickup.png	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/s3.eu-west-1.amazonaws.com/halim.website/images/tools/clickup.png	(from https://halim.website/)
12:16:26	80927/80927	---M--	200	added ('OK')	application/javascript	etag:%2261fe7237-13c1f%22	https://halim.website/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://halim.website/)
12:16:26	2302/2302	---M--	200	added ('OK')	application/javascript	etag:%2261fe7237-8fe%22	https://halim.website/vendor/jquery.easing/jquery.easing.min.js	C:/Users/KONZA-VDI/Desktop/Portfolio/https___halim.website_/halim.website/vendor/jquery.easing/jquery.easing.min.js	(from https://halim.website/)
